arrival_1,arrival_3,arrival_2,stop_id,current_time,bus_id
11:25 AM,12:25 PM, 1:25 PM,1617,2022-04-19 18:00:24.777,10
11:02 AM,11:30 AM,12:00 PM,2672,2022-04-19 18:00:31.771,15
11:03 AM,11:32 AM,12:02 PM,2674,2022-04-19 18:00:34.080,15
11:08 AM,11:36 AM,12:06 PM,2676,2022-04-19 18:00:38.292,15
11:16 AM,11:43 AM,12:13 PM,2102,2022-04-19 18:00:42.144,18
11:27 AM,12:27 PM, 1:27 PM,1616,2022-04-19 18:01:15.887,10
11:29 AM,12:29 PM, 1:29 P,1615,2022-04-19 18:01:17.983,10
11:34 AM,12:34 PM, 1:34 PM,2448,2022-04-19 18:01:18.963,10
11:25 AM,11:52 AM,12:22 PM,2448,2022-04-19 18:01:23.153,18
arriving,11:29 AM,11:59 AM,2671,2022-04-19 18:01:22.190,15
11:20 AM,11:47 AM,12:17 PM,1615,2022-04-19 18:01:23.785,18
11:06 AM,11:34 AM,12:04 PM,2675,2022-04-19 18:01:26.954,15
11:17 AM, 1:16 PM, 3:15 PM,1617,2022-04-19 18:01:27.944,20
11:19 AM, 1:18 PM, 3:17 PM,1616,2022-04-19 18:01:29.906,20
11:24 AM, 1:22 PM, 3:22 PM,2448,2022-04-19 18:01:33.005,20
11:25 AM,12:25 PM, 1:25 PM,2671,2022-04-19 18:01:33.642,19
11:26 AM,12:26 PM, 1:26 PM,2672,2022-04-19 18:01:36.759,19
11:17 AM,11:44 AM,12:14 PM,1617,2022-04-19 18:01:36.980,18
11:29 AM,12:29 PM, 1:29 P,2675,2022-04-19 18:01:42.129,19
arriving,11:31 AM,12:31 PM,2676,2022-04-19 18:01:43.183,19
11:18 AM,11:45 AM,12:15 PM,1616,2022-04-19 18:02:08.626,18
11:16 AM, 1:15 PM, 3:14 PM,2102,2022-04-19 18:02:16.919,20
11:21 AM, 1:19 PM, 3:19 PM,1615,2022-04-19 18:02:20.615,20
11:28 AM,12:28 P, 1:28 PM,2674,2022-04-19 18:02:27.322,19
12:28 P, 1:00 PM, 1:28 PM,2671,2022-04-19 19:00:58.956,15
12:02 PM,12:32 PM, 1:32 PM,2674,2022-04-19 19:01:02.789,15
12:42 PM, 1:42 PM, 2:42 PM,2448,2022-04-19 19:01:12.987,10
12:31 PM, 1:31 P, 2:31 P,1617,2022-04-19 19:01:39.075,10
12:38 PM, 1:38 PM, 2:38 PM,1615,2022-04-19 19:01:41.561,10
