,ZONE_ID,EASTBOUND,dayofweek,BUS_TYPE,MIN_LATE,
11:02,6,0,Tuesday,1,0,
11:08,1,0,Tuesday,1,1,
11:16,1,1,Tuesday,2,9,
11:25,5,1,Tuesday,2,2,
11:06,3,0,Tuesday,1,0,
11:17,2,1,Tuesday,4,12,
11:19,3,1,Tuesday,4,12,
11:24,5,1,Tuesday,4,12,
11:25,5,0,Tuesday,3,2,
11:26,6,0,Tuesday,3,1,
11:17,2,1,Tuesday,2,7,
11:29,3,0,Tuesday,3,0,
11:18,3,1,Tuesday,2,3,
11:16,1,1,Tuesday,4,12,
11:21,4,1,Tuesday,4,12,
11:28,4,0,Tuesday,3,0,
12:42,5,1,Tuesday,0,4,
12:31,2,1,Tuesday,0,2,
12:38,4,1,Tuesday,0,3,
12:35,3,1,Tuesday,0,3,
12:21,1,1,Tuesday,2,14,
12:04,5,1,Tuesday,2,9,
12:22,2,1,Tuesday,2,12,
12:24,3,1,Tuesday,2,8,
12:27,4,1,Tuesday,2,4,
12:26,6,0,Tuesday,3,1,
12:24,5,0,Tuesday,3,1,
12:29,4,0,Tuesday,3,1,
12:32,3,0,Tuesday,3,3,
12:36,1,0,Tuesday,3,5,
Ê1:27,2,1,Tuesday,0,58,
Ê1:36,5,1,Tuesday,0,58,
Ê1:07,3,0,Tuesday,1,0,
Ê1:09,1,0,Tuesday,1,0,
Ê1:29,3,1,Tuesday,0,57,
Ê1:31,4,1,Tuesday,0,56,
Ê1:04,6,0,Tuesday,1,1,
Ê1:02,5,0,Tuesday,1,1,
Ê1:18,2,1,Tuesday,2,8,
Ê1:17,1,1,Tuesday,2,10,
Ê1:09,1,1,Tuesday,4,4,
Ê1:13,3,1,Tuesday,4,4,
Ê1:15,4,1,Tuesday,4,4,
Ê1:26,6,0,Tuesday,3,1,
Ê1:19,5,1,Tuesday,4,5,
Ê1:29,3,0,Tuesday,3,0,
Ê1:20,3,1,Tuesday,2,4,
Ê1:26,5,1,Tuesday,2,1,
Ê1:11,2,1,Tuesday,4,5,
Ê1:24,5,0,Tuesday,3,1,
Ê1:32,1,0,Tuesday,3,1,
Ê2:39,5,1,Tuesday,0,0,
Ê2:33,2,1,Tuesday,0,4,
Ê2:35,3,1,Tuesday,0,3,
Ê2:36,4,1,Tuesday,0,1,
Ê2:03,6,0,Tuesday,1,0,
Ê2:31,5,0,Tuesday,1,0,
Ê2:22,3,1,Tuesday,2,6,
Ê2:21,1,1,Tuesday,2,14,
Ê2:21,2,1,Tuesday,2,11,
Ê3:13,2,1,Tuesday,4,7,
Ê2:24,4,1,Tuesday,2,1,
Ê3:18,4,1,Tuesday,4,7,
Ê2:28,5,1,Tuesday,2,3,
Ê3:11,1,1,Tuesday,4,6,
Ê3:16,3,1,Tuesday,4,7,
Ê3:23,5,1,Tuesday,4,9,
Ê3:07,6,0,Tuesday,1,4,
Ê3:29,2,1,Tuesday,0,0,
Ê3:10,4,0,Tuesday,1,4,
Ê3:06,5,0,Tuesday,1,5,
Ê3:12,3,0,Tuesday,1,5,
Ê3:18,1,1,Tuesday,2,11,
Ê3:20,2,1,Tuesday,2,10,
Ê3:25,4,1,Tuesday,2,1,
Ê3:29,5,1,Tuesday,2,2,
Ê3:06,1,1,Tuesday,4,1,
Ê3:09,3,1,Tuesday,4,0,
Ê3:22,3,1,Tuesday,2,5,
Ê3:11,4,1,Tuesday,4,0,
Ê3:14,5,1,Tuesday,4,0,
Ê3:26,5,0,Tuesday,3,3,
Ê3:03,3,0,Tuesday,3,3,
Ê3:14,1,0,Tuesday,1,5,
Ê3:08,2,1,Tuesday,4,2,
Ê3:28,6,0,Tuesday,3,3,
Ê3:05,1,0,Tuesday,3,3,
Ê4:36,2,1,Tuesday,0,7,
Ê4:32,3,1,Tuesday,0,0,
Ê4:05,4,0,Tuesday,1,1,
Ê4:19,1,1,Tuesday,2,12,
Ê4:04,6,0,Tuesday,1,3,
Ê4:38,5,1,Tuesday,0,0,
Ê4:02,5,0,Tuesday,1,3,
Ê4:24,4,1,Tuesday,2,2,
Ê4:23,3,1,Tuesday,2,7,
Ê4:07,3,0,Tuesday,1,2,
Ê4:10,1,0,Tuesday,1,4,
Ê4:15,4,1,Tuesday,4,4,
Ê4:21,2,1,Tuesday,2,11,
Ê4:08,2,1,Tuesday,4,2,
Ê4:12,3,1,Tuesday,4,3,
Ê4:05,1,1,Tuesday,4,0,
Ê4:18,5,1,Tuesday,4,4,
Ê4:33,3,0,Tuesday,3,3,
Ê4:27,5,0,Tuesday,3,3,
Ê4:35,1,0,Tuesday,3,3,
Ê4:29,6,0,Tuesday,3,3,
Ê4:31,4,0,Tuesday,3,2,
Ê5:29,2,1,Wednesday,0,0,
Ê5:28,5,0,Wednesday,1,0,
Ê5:06,1,0,Wednesday,1,0,
Ê5:05,3,0,Wednesday,1,0,
Ê5:06,3,1,Wednesday,2,10,
Ê5:08,4,1,Wednesday,2,9,
Ê5:14,5,1,Wednesday,4,0,
Ê5:26,5,0,Wednesday,3,6,
Ê5:04,4,0,Wednesday,1,0,
Ê5:02,5,1,Wednesday,2,1,
Ê5:06,2,1,Wednesday,4,0,
Ê5:02,4,0,Wednesday,3,3,
Ê5:28,6,0,Wednesday,3,6,
Ê5:05,3,0,Wednesday,3,5,
Ê5:08,1,0,Wednesday,3,6,
Ê7:15,3,1,Wednesday,0,6,
Ê6:03,4,0,Wednesday,1,0,
Ê7:13,2,1,Wednesday,0,14,
Ê7:17,4,1,Wednesday,0,6,
Ê7:20,5,1,Wednesday,0,12,
Ê6:01,6,0,Wednesday,1,1,
Ê6:04,3,0,Wednesday,1,0,
Ê6:07,1,0,Wednesday,1,1,
Ê8:07,1,1,Wednesday,4,6,
Ê8:09,2,1,Wednesday,4,7,
Ê6:35,5,1,Wednesday,2,19,
Ê8:12,3,1,Wednesday,4,9,
Ê8:15,4,1,Wednesday,4,10,
Ê8:20,5,1,Wednesday,4,19,
Ê6:04,1,0,Wednesday,3,6,
Ê7:27,3,1,Wednesday,0,0,
Ê7:30,6,0,Wednesday,1,0,
Ê7:28,5,0,Wednesday,1,0,
Ê7:32,4,0,Wednesday,1,0,
Ê7:13,1,1,Wednesday,2,8,
Ê7:25,2,1,Wednesday,0,1,
Ê7:19,5,1,Wednesday,2,3,
Ê7:33,3,0,Wednesday,1,0,
Ê7:34,1,0,Wednesday,1,0,
Ê7:14,2,1,Wednesday,2,7,
Ê8:05,2,1,Wednesday,4,0,
Ê7:15,3,1,Wednesday,2,5,
Ê7:16,4,1,Wednesday,2,2,
Ê8:07,3,1,Wednesday,4,0,
Ê8:09,4,1,Wednesday,4,0,
Ê8:11,5,1,Wednesday,4,0,
Ê8:04,1,1,Wednesday,4,0,
Ê8:19,2,1,Wednesday,2,9,
Ê8:23,4,1,Wednesday,2,2,
Ê8:21,3,1,Wednesday,2,6,
Ê8:26,5,1,Wednesday,2,3,
Ê8:06,2,1,Wednesday,4,1,
Ê8:09,4,1,Wednesday,4,0,
Ê8:04,1,1,Wednesday,4,0,
Ê8:08,3,1,Wednesday,4,1,
Ê8:23,5,0,Wednesday,3,0,
Ê8:25,6,0,Wednesday,3,0,
Ê8:11,5,1,Wednesday,4,0,
Ê8:30,3,0,Wednesday,3,1,
Ê9:33,2,1,Wednesday,0,4,
Ê9:36,4,1,Wednesday,0,1,
Ê9:05,4,0,Wednesday,1,0,
Ê9:06,3,0,Wednesday,1,0,
Ê9:08,1,0,Wednesday,1,1,
Ê9:22,2,1,Wednesday,2,12,
Ê9:24,3,1,Wednesday,2,9,
Ê9:26,4,1,Wednesday,2,5,
Ê9:34,3,1,Wednesday,0,2,
Ê9:07,1,1,Wednesday,4,3,
Ê9:39,5,1,Wednesday,0,1,
Ê9:03,6,0,Wednesday,1,1,
Ê9:08,2,1,Wednesday,4,3,
Ê9:02,5,0,Wednesday,1,2,
Ê9:09,3,1,Wednesday,4,2,
Ê9:14,5,1,Wednesday,4,3,
Ê9:21,1,1,Wednesday,2,14,
Ê9:27,6,0,Wednesday,3,2,
Ê9:05,1,0,Wednesday,3,5,
Ê9:29,5,1,Wednesday,2,6,
Ê9:10,4,1,Wednesday,4,1,
Ê9:25,5,0,Wednesday,3,2,
Ê9:03,3,0,Wednesday,3,4,
10:03,6,0,Wednesday,1,1,
10:02,5,0,Wednesday,1,2,
10:08,1,0,Wednesday,1,1,
10:06,3,0,Wednesday,1,0,
11:07,1,1,Wednesday,4,3,
10:26,5,1,Wednesday,2,3,
11:08,2,1,Wednesday,4,3,
11:12,4,1,Wednesday,4,3,
10:25,5,0,Wednesday,3,2,
10:28,4,0,Wednesday,3,0,
10:22,3,1,Wednesday,2,7,
10:24,4,1,Wednesday,2,3,
11:10,3,1,Wednesday,4,3,
11:16,5,1,Wednesday,4,4,
10:27,6,0,Wednesday,3,2,
10:04,1,0,Wednesday,3,4,
11:32,3,1,Wednesday,0,0,
11:30,2,1,Wednesday,0,1,
11:20,1,1,Wednesday,2,13,
11:38,5,1,Wednesday,0,0,
11:02,6,0,Wednesday,1,0,
11:22,2,1,Wednesday,2,12,
11:08,1,1,Wednesday,4,4,
11:11,3,1,Wednesday,4,4,
11:09,1,0,Wednesday,1,2,
11:24,3,1,Wednesday,2,9,
11:26,4,1,Wednesday,2,5,
11:10,2,1,Wednesday,4,5,
11:13,4,1,Wednesday,4,4,
11:17,5,1,Wednesday,4,5,
12:34,2,1,Wednesday,0,5,
12:37,3,1,Wednesday,0,5,
12:03,6,0,Wednesday,1,0,
12:02,5,0,Wednesday,1,2,
12:07,3,0,Wednesday,1,0,
12:39,4,1,Wednesday,0,4,
12:43,5,1,Wednesday,0,5,
12:09,1,0,Wednesday,1,0,
12:03,4,1,Wednesday,2,10,
12:07,5,1,Wednesday,2,12,
12:27,6,0,Wednesday,3,2,
12:24,5,0,Wednesday,3,1,
12:06,1,0,Wednesday,3,5,
Ê1:29,2,1,Wednesday,0,0,
Ê1:30,3,1,Wednesday,0,58,
Ê1:05,6,0,Wednesday,1,2,
Ê1:04,5,0,Wednesday,1,3,
Ê1:07,4,0,Wednesday,1,1,
Ê1:31,4,1,Wednesday,0,56,
Ê1:36,5,1,Wednesday,0,58,
Ê1:25,3,1,Wednesday,2,9,
Ê1:27,4,1,Wednesday,2,4,
Ê1:08,3,0,Wednesday,1,1,
Ê1:10,1,0,Wednesday,1,1,
Ê1:21,1,1,Wednesday,2,14,
Ê1:16,2,1,Wednesday,4,10,
Ê1:18,3,1,Wednesday,4,9,
Ê1:23,2,1,Wednesday,2,13,
Ê1:20,4,1,Wednesday,4,9,
Ê1:24,5,1,Wednesday,4,10,
Ê1:03,4,0,Wednesday,3,5,
Ê1:25,5,0,Wednesday,3,2,
Ê1:15,1,1,Wednesday,4,10,
Ê1:05,3,0,Wednesday,3,6,
Ê1:07,1,0,Wednesday,3,6,
Ê3:07,3,0,Wednesday,1,0,
Ê3:09,1,0,Wednesday,1,0,
Ê3:03,6,0,Wednesday,1,0,
Ê3:01,5,0,Wednesday,1,0,
Ê3:27,5,1,Wednesday,2,0,
Ê3:07,1,1,Wednesday,4,2,
Ê3:18,1,1,Wednesday,2,11,
Ê3:20,2,1,Wednesday,2,10,
Ê3:22,3,1,Wednesday,2,5,
Ê3:14,5,1,Wednesday,4,0,
Ê3:24,4,1,Wednesday,2,0,
Ê3:23,5,0,Wednesday,3,0,
Ê3:25,6,0,Wednesday,3,0,
Ê3:07,2,1,Wednesday,4,1,
Ê4:30,2,1,Wednesday,0,1,
Ê4:32,3,1,Wednesday,0,0,
Ê4:38,5,1,Wednesday,0,0,
Ê4:08,6,0,Wednesday,1,7,
Ê4:10,4,0,Wednesday,1,6,
Ê4:12,3,0,Wednesday,1,7,
Ê4:15,1,0,Wednesday,1,9,
Ê4:06,5,0,Wednesday,1,7,
Ê4:08,1,1,Wednesday,4,3,
Ê4:10,2,1,Wednesday,4,4,
Ê4:02,4,1,Wednesday,2,8,
Ê4:13,4,1,Wednesday,4,2,
Ê4:06,5,1,Wednesday,2,9,
Ê4:17,5,1,Wednesday,4,3,
Ê4:25,5,0,Wednesday,3,1,
Ê4:08,1,0,Wednesday,3,6,
Ê4:11,3,1,Wednesday,4,2,
Ê4:03,4,0,Wednesday,3,4,
Ê4:05,3,0,Wednesday,3,5,
Ê5:30,2,1,Thursday,0,1,
Ê5:08,6,0,Thursday,1,7,
Ê5:05,5,0,Thursday,1,6,
Ê5:10,4,0,Thursday,1,6,
Ê5:12,3,0,Thursday,1,7,
Ê5:06,4,1,Thursday,2,7,
Ê5:11,5,1,Thursday,2,10,
Ê5:06,2,1,Thursday,4,0,
Ê5:21,5,1,Thursday,4,7,
Ê5:25,5,0,Thursday,3,5,
Ê5:28,6,0,Thursday,3,6,
Ê5:05,1,0,Thursday,3,3,
Ê5:14,1,0,Thursday,1,8,
Ê5:04,3,1,Thursday,2,8,
Ê5:03,3,0,Thursday,3,3,
Ê7:21,2,1,Thursday,0,22,
Ê7:24,4,1,Thursday,0,13,
Ê7:28,5,1,Thursday,0,20,
Ê6:07,6,0,Thursday,1,7,
Ê6:13,1,0,Thursday,1,7,
Ê6:20,2,1,Thursday,2,12,
Ê7:23,3,1,Thursday,0,14,
Ê6:05,5,0,Thursday,1,7,
Ê6:09,4,0,Thursday,1,6,
Ê6:11,3,0,Thursday,1,7,
Ê6:19,1,1,Thursday,2,12,
Ê8:10,2,1,Thursday,4,8,
Ê8:13,4,1,Thursday,4,8,
Ê6:21,3,1,Thursday,2,10,
Ê8:19,5,1,Thursday,4,18,
Ê6:23,4,1,Thursday,2,9,
Ê6:26,5,1,Thursday,2,10,
Ê8:08,1,1,Thursday,4,7,
